Species	Status	min_age	max_age
Psephoderma alpinum	extinct	201.4	205.7
Psephoderma alpinum	extinct	201.4	205.7
Paraplacodus broilii	extinct	241.464	246.7
Barracudasaurus maotaiensis	extinct	237	246.7
Arctosaurus osborni	extinct	201.4	237
Czatkowiella harae	extinct	246.7	249.9
Sophineta cracoviensis	extinct	246.7	249.9
Osmolskina czatkowicensis	extinct	246.7	249.9
Pamelina polonica	extinct	246.7	249.9
Procolina teresae	extinct	246.7	249.9
Euscolosuchus olseni	extinct	227.3	237
Uatchitodon kroehleri	extinct	227.3	237
Gomphiosauridion baileyae	extinct	227.3	237
Xenodiphyodon petraios	extinct	227.3	237
Desmatosuchus spurensis	extinct	205.7	227.3
Smilosuchus adamanensis	extinct	205.7	227.3
Postosuchus kirkpatricki	extinct	205.7	227.3
Camposaurus arizonensis	extinct	205.7	227.3
Calyptosuchus wellesi	extinct	205.7	227.3
Smilosuchus adamanensis	extinct	205.7	227.3
Acaenasuchus geoffreyi	extinct	205.7	227.3
Timanophon raridentatus	extinct	246.7	249.9
Poposaurus gracilis	extinct	205.7	227.3
Shuvosaurus inexpectatus	extinct	205.7	227.3
Poposaurus gracilis	extinct	205.7	227.3
Trilophosaurus jacobsi	extinct	205.7	227.3
Parasuchus bransoni	extinct	227.3	237
Unaysaurus tolentinoi	extinct	205.7	227.3
Terrestrisuchus gracilis	extinct	227.3	237
Tricuspisaurus thomasi	extinct	201.4	205.7
Planocephalosaurus robinsonae	extinct	201.4	205.7
Variodens inopinatus	extinct	201.4	205.7
Cymbospondylus petrinus	extinct	237	246.7
Cymbospondylus natans	extinct	237	246.7
Phalarodon fraasi	extinct	237	246.7
Agialopous wyomingensis	extinct	201.4	227.3
Grallator tenuis	extinct	205.7	227.3
Lucasuchus hunti	extinct	227.3	237
Grallator cursorius	extinct	205.7	227.3
Grallator tuberosus	extinct	205.7	227.3
Brachychirotherium parvum	extinct	205.7	227.3
Brachychirotherium eyermani	extinct	205.7	227.3
Apatopus lineatus	extinct	205.7	227.3
Rhynchosauroides hyperbates	extinct	205.7	227.3
Brachychirotherium parvum	extinct	205.7	227.3
Diphydontosaurus avonis	extinct	227.3	237
Machaeroprosopus buceros	extinct	205.7	227.3
Machaeroprosopus pristinus	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Teratosaurus suevicus	extinct	205.7	227.3
Eucnemesaurus fortis	extinct	201.4	227.3
Efraasia minor	extinct	211.18	215.38
Gresslyosaurus ingens	extinct	205.7	211.18
Typothorax coccinarum	extinct	205.7	227.3
Coelophysis bauri	extinct	201.4	205.7
Redondasaurus bermani	extinct	201.4	205.7
Trilophosaurus buettneri	extinct	205.7	227.3
Revueltosaurus callenderi	extinct	205.7	227.3
Chindesaurus bryansmalli	extinct	205.7	227.3
Plateosaurus engelhardti	extinct	205.7	227.3
Plateosaurus engelhardti	extinct	205.7	227.3
Gresslyosaurus plieningeri	extinct	205.7	227.3
Camelotia borealis	extinct	201.4	205.7
Staurikosaurus pricei	extinct	227.3	237
Spondylosoma absconditum	extinct	237	241.464
Plateosaurus engelhardti	extinct	205.7	227.3
Zanclodon laevis	extinct	237	241.464
Plateosaurus erlenbergiensis	extinct	201.4	205.7
Gresslyosaurus plieningeri	extinct	205.7	227.3
Plateosaurus longiceps	extinct	201.4	205.7
Ruehleia bedheimensis	extinct	205.7	227.3
Liliensternus liliensterni	extinct	205.7	227.3
Gojirasaurus quayi	extinct	205.7	227.3
Rioarribasuchus chamaensis	extinct	205.7	227.3
Shuvosaurus inexpectatus	extinct	205.7	227.3
Typothorax coccinarum	extinct	205.7	227.3
Revueltosaurus callenderi	extinct	205.7	227.3
Longosuchus meadei	extinct	205.7	237
Ammorhynchus navajoi	extinct	244.24	246.7
Ammorhynchus navajoi	extinct	244.24	246.7
Ammorhynchus navajoi	extinct	244.24	246.7
Ammorhynchus navajoi	extinct	244.24	246.7
Thecodontosaurus antiquus	extinct	201.4	205.7
Diphydontosaurus avonis	extinct	201.4	205.7
Diphydontosaurus avonis	extinct	201.4	205.7
Eubrontes giganteus	extinct	201.4	205.7
Coloradisaurus brevis	extinct	205.7	227.3
Riojasaurus incertus	extinct	205.7	227.3
