taxon1	taxon2	rank
Aetosauripus	Aetosaurus	2
Aetosaurus	Nectosaurus	2
Captorhinikos	Captorhinus	2
Labidosaurikos	Labidosaurus	2
Megalosauripus	Megalosaurus	2
Parachirotherium	Prochirotherium	2
Procerosuchus	Proterosuchus	2
Prochirotherium	Protochirotherium	2
Proterosuchus	Protosuchus	2
Aetosauripus	Aetosauroides	3
Aetosauripus	Eosauropus	3
Aetosaurus	Lotosaurus	3
Clevosaurus	Sclerosaurus	3
Germanosaurus	Termatosaurus	3
Isochirotherium	Prochirotherium	3
Labidosaurus	Lariosaurus	3
Lagosuchus	Longosuchus	3
Lotosaurus	Nothosaurus	3
Megalancosaurus	Megapnosaurus	3
Megalosaurus	Megapnosaurus	3
Aetosauroides	Eosauropus	4
Aetosaurus	Clevosaurus	4
Aetosaurus	Nothosaurus	4
Aetosaurus	Scutosaurus	4
Ammosaurus	Simosaurus	4
Apatopus	Hamatopus	4
Askeptosaurus	Psephosaurus	4
Askeptosaurus	Scutosaurus	4
Bolosaurus	Lotosaurus	4
Bolosaurus	Poposaurus	4
Ceresiosaurus	Plesiosaurus	4
Chasmatosuchus	Desmatosuchus	4
Coelophysis	Eucoelophysis	4
Cymatosaurus	Termatosaurus	4
Erpetosuchus	Hesperosuchus	4
Eunotosaurus	Lotosaurus	4
Lotosaurus	Plateosaurus	4
Lotosaurus	Poposaurus	4
Megalosaurus	Omphalosaurus	4
Mixosaurus	Simosaurus	4
Nectosaurus	Nicrosaurus	4
Pachystropheus	Tanystropheus	4
Poposaurus	Psephosaurus	4
Postosuchus	Protosuchus	4
Procerosuchus	Protosuchus	4
Scelidosaurus	Sclerosaurus	4
Scutosaurus	Shuvosaurus	4
Smilosuchus	Spinosuchus	4
Temnodontosaurus	Thecodontosaurus	4
Ammosaurus	Archosaurus	5
Ammosaurus	Caseosaurus	5
Ammosaurus	Lariosaurus	5
Bolosaurus	Nothosaurus	5
Caseosaurus	Plateosaurus	5
Chaohusaurus	Keichousaurus	5
Clevosaurus	Lotosaurus	5
Clevosaurus	Plesiosaurus	5
Erpetosuchus	Leptosuchus	5
Erpetosuchus	Protosuchus	5
Lagosuchus	Leptosuchus	5
Lariosaurus	Lotosaurus	5
Lariosaurus	Pareiasaurus	5
Lariosaurus	Plateosaurus	5
Lariosaurus	Plesiosaurus	5
Lotosaurus	Nectosaurus	5
Lotosaurus	Scutosaurus	5
Malerisaurus	Sclerosaurus	5
Mixosaurus	Nicrosaurus	5
Nicrosaurus	Simosaurus	5
Nothosaurus	Poposaurus	5
Plateosaurus	Plesiosaurus	5
Plesiosaurus	Psephosaurus	5
Sclerosaurus	Scutosaurus	5
Scutosaurus	Simosaurus	5
Shuvosaurus	Simosaurus	5
Simosaurus	Xinpusaurus	5
Spinosuchus	Ticinosuchus	5
Tecovasaurus	Tecovasuchus	5
Aetosaurus	Ammosaurus	6
Aetosaurus	Bolosaurus	6
Aetosaurus	Mixosaurus	6
Aetosaurus	Poposaurus	6
Aetosaurus	Simosaurus	6
Archosaurus	Nectosaurus	6
Archosaurus	Nicrosaurus	6
Archosaurus	Nothosaurus	6
Caseosaurus	Clevosaurus	6
Caseosaurus	Lariosaurus	6
Clevosaurus	Shuvosaurus	6
Leptonectes	Leptosuchus	6
Leptosuchus	Longosuchus	6
Leptosuchus	Postosuchus	6
Leptosuchus	Protosuchus	6
Longosuchus	Postosuchus	6
Nectosaurus	Nothosaurus	6
Nectosaurus	Scutosaurus	6
Nicrosaurus	Nothosaurus	6
Shonisaurus	Shuvosaurus	6
