taxon1	taxon2	rank
Neusticosaurus_edwardsi	Neusticosaurus_edwardsii	0
Captorhinikos_valensis	Captorhinoides_valensis	2
Coelurosaurichnus_palissyi	Coelurosaurichnus_palyssi	2
Pattisaura_gracilis	Plateosaurus_gracilis	2
Plesiosaurus_costatus	Plesiosaurus_rostratus	2
Brachychirotherium_circaparvum	Brachychirotherium_paraparvum	3
Hyperodapedon_huenei	Hyperodapedon_huxleyi	3
Rotodactylus_bradyi	Rotodactylus_rati	3
Zanclodon_arenaceus	Zanclodon_crenatus	3
Hyperodapedon_mariensis	Hyperodapedon_tikiensis	4
Isochirotherium_coureli	Isochirotherium_soergeli	4
Isochirotherium_herculis	Isochirotherium_soergeli	4
Lariosaurus_sanxiaensis	Lariosaurus_xingyiensis	4
Nothosaurus_haasi	Nothosaurus_zhangi	4
Rhynchosauroides_majus	Rhynchosauroides_maximus	4
Batrachopus_bellus	Batrachopus_deweyi	5
Chirotherium_ferox	Chirotherium_rex	5
Coelurosaurichnus_kehli	Coelurosaurichnus_moeni	5
Lariosaurus_buzzii	Lariosaurus_youngi	5
