Species	Status
Abyssomedon_williamsi	extinct
Acaenasuchus_geoffreyi	extinct
Acallosuchus_rectori	extinct
Acleistorhinus_pteroticus	extinct
Actiosaurus_gaudryi	extinct
Adamanasuchus_eisenhardtae	extinct
Aenigmasaurus_grallator	extinct
Aenigmaspina_pantyffynnonensis	extinct
Aenigmastropheus_parringtoni	extinct
Aetobarbakinoides_brasiliensis	extinct
Aetosauripus_schlauersbachensis	extinct
Aetosauroides_scagliai	extinct
Aetosaurus_ferratus	extinct
Agialopous_wyomingensis	extinct
Agkistrognathus_campbelli	extinct
Agnosphitys_cromhallensis	extinct
Ahvaytum_bahndooiveche	extinct
Airistagiz_seegisi	extinct
Akropus_schochardti	extinct
Alexeyisaurus_karnoushenkoi	extinct
Alwalkeria_maleriensis	extinct
Amanasaurus_nesbitti	extinct
Ammorhynchus_navajoi	extinct
Amotosaurus_rotfeldensis	extinct
Anarosaurus_heterodontus	extinct
Anarosaurus_pumilio	extinct
Anatrisauropus_ginsburgi	extinct
Anchisauripus_bibractensis	extinct
Anchisauripus_gwyneddensis	extinct
Anchisauripus_poolei	extinct
Anchisauripus_thomasi	extinct
Ancistronychus_paradoxus	extinct
Angistorhinus_aeolamnis	extinct
Angistorhinus_alticephalus	extinct
Angistorhinus_grandis	extinct
Angistorhinus_maximus	extinct
Angistorhinus_parvus	extinct
Angistorhinus_talainti	extinct
Anisodontosaurus_greeri	extinct
Ankylosuchus_chinlegroupensis	extinct
Anomoepus_moghrebensis	extinct
Anomoepus_scambus	extinct
Anomoiodon_krejcii	extinct
Anomoiodon_liliensterni	extinct
Anshunsaurus_huangguoshuensis	extinct
Anshunsaurus_huangnihensis	extinct
Anshunsaurus_wushaensis	extinct
Antarctanax_shackletoni	extinct
Anteavis_crurilongus	extinct
Anthodon_serrarius	extinct
Apachesuchus_heckerti	extinct
Apatopus_lineatus	extinct
Apatosuchus_orbitoangulatus	extinct
Aphelosaurus_lutevensis	extinct
Araeoscelis_casei	extinct
Araeoscelis_gracilis	extinct
Archeopelta_arborensis	extinct
Archosaurus_rossicus	extinct
Arcticodactylus_cromptonellus	extinct
Arctosaurus_osborni	extinct
Arganaceras_vacanti	extinct
Arganasuchus_dutuiti	extinct
Argoides_macrodactylus	extinct
Arizonasaurus_babbitti	extinct
Asilisaurus_kongwe	extinct
Askeptosaurus_italicus	extinct
Asperoris_mnyama	extinct
