Species	Status	min_age	max_age
Kuehneosuchus_latissimus	extinct	201.4	205.7
Kuehneosaurus_latus	extinct	201.4	205.7
Trilophosaurus_buettneri	extinct	205.7	237
Trilophosaurus_buettneri	extinct	205.7	237
Procolophon_trigoniceps	extinct	246.7	251.902
Araeoscelis_casei	extinct	283.3	290.1
Clevosaurus_hudsoni	extinct	227.3	237
Planocephalosaurus_robinsonae	extinct	227.3	237
Sigmala_sigmala	extinct	227.3	237
Clevosaurus_minor	extinct	227.3	237
Planocephalosaurus_robinsonae	extinct	227.3	237
Sigmala_sigmala	extinct	227.3	237
Planocephalosaurus_robinsonae	extinct	227.3	237
Clevosaurus_minor	extinct	227.3	237
Sigmala_sigmala	extinct	227.3	237
Sigmala_sigmala	extinct	227.3	237
Pelecymala_robustus	extinct	227.3	237
Planocephalosaurus_robinsonae	extinct	227.3	237
Planocephalosaurus_robinsonae	extinct	227.3	237
Planocephalosaurus_robinsonae	extinct	227.3	237
Clevosaurus_minor	extinct	227.3	237
Hyperodapedon_mariensis	extinct	205.7	237
Trilophosaurus_buettneri	extinct	205.7	227.3
Lewisuchus_admixtus	extinct	237	241.464
Lagerpeton_chanarensis	extinct	237	241.464
Postosuchus_kirkpatricki	extinct	205.7	227.3
Desmatosuchus_smalli	extinct	205.7	227.3
Trilophosaurus_buettneri	extinct	205.7	227.3
Efraasia_minor	extinct	205.7	227.3
Plateosaurus_trossingensis	extinct	205.7	227.3
Plateosaurus_trossingensis	extinct	205.7	227.3
Proganochelys_quenstedtii	extinct	205.7	227.3
Proganochelys_quenstedtii	extinct	201.4	205.7
Elachistosuchus_huenei	extinct	201.4	205.7
Poposaurus_langstoni	extinct	205.7	237
Otischalkia_elderae	extinct	205.7	237
Trilophosaurus_buettneri	extinct	205.7	237
Longosuchus_meadei	extinct	205.7	237
Trilophosaurus_buettneri	extinct	205.7	237
Otischalkia_elderae	extinct	205.7	237
Eubrontes_giganteus	extinct	201.4	205.7
Grallator_variabilis	extinct	201.4	205.7
Rotodactylus_lucasi	extinct	237	246.7
Brachychirotherium_pachydactylum	extinct	237	246.7
Coelurosaurichnus_perriauxi	extinct	237	246.7
Chirotherium_ferox	extinct	237	246.7
Anchisauripus_bibractensis	extinct	237	246.7
Eoraptor_lunensis	extinct	227.3	233.6
Herrerasaurus_ischigualastensis	extinct	227.3	233.6
Saurosuchus_galilei	extinct	227.3	233.6
Herrerasaurus_ischigualastensis	extinct	227.3	237
Agnosphitys_cromhallensis	extinct	227.3	237
Saturnalia_tupiniquim	extinct	205.7	237
Pisanosaurus_mertii	extinct	227.3	233.6
Bradysaurus_seeleyi	extinct	259.51	264.28
Arcticodactylus_cromptonellus	extinct	205.7	227.3
Aetosaurus_ferratus	extinct	205.7	227.3
Plateosaurus_longiceps	extinct	205.7	227.3
Issi_saaneq	extinct	205.7	227.3
Pantydraco_caducus	extinct	227.3	237
Eumetabolodon_bathycephalus	extinct	241.464	249.9
Eumetabolodon_bathycephalus	extinct	241.464	249.9
Youngetta_dongshengensis	extinct	246.7	251.902
Belebey_vegrandis	extinct	264.28	266.9
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Rothianiscus_robusta	extinct	264.28	274.4
Captorhinoides_valensis	extinct	274.4	283.3
Coelurosaurichnus_sabinensis	extinct	201.4	237
Coelurosaurichnus_sabinensis	extinct	237	246.7
Bolosaurus_striatus	extinct	283.3	290.1
Bolosaurus_major	extinct	283.3	290.1
Bolosaurus_striatus	extinct	283.3	290.1
Reiszorhinus_olsoni	extinct	274.4	290.1
Labidosaurus_hamatus	extinct	274.4	283.3
Captorhinus_aguti	extinct	274.4	283.3
Captorhinus_aguti	extinct	274.4	283.3
Captorhinus_aguti	extinct	274.4	283.3
Captorhinus_aguti	extinct	274.4	283.3
Labidosaurus_hamatus	extinct	274.4	283.3
Labidosaurus_broilii	extinct	274.4	283.3
Captorhinus_aguti	extinct	274.4	283.3
Labidosaurus_hamatus	extinct	274.4	283.3
Araeoscelis_gracilis	extinct	274.4	283.3
Captorhinus_aguti	extinct	274.4	283.3
Labidosaurus_hamatus	extinct	274.4	283.3
Rhynchosauroides_petri	extinct	237	246.7
Rhynchosauroides_virgiliae	extinct	237	246.7
Synaptichnium_argantobrivense	extinct	237	246.7
Synaptichnium_cameronensis	extinct	237	246.7
Chirotherium_barthii	extinct	237	246.7
Brachychirotherium_circaparvum	extinct	237	246.7
Brachychirotherium_pachydactylum	extinct	237	246.7
Isochirotherium_delicatum	extinct	237	246.7
Rotodactylus_rati	extinct	237	246.7
Chirotherium_ferox	extinct	237	246.7
Coelurosaurichnus_perriauxi	extinct	237	246.7
Anchisauripus_bibractensis	extinct	237	246.7
Deltavjatia_rossicus	extinct	259.51	264.28
Rhynchosauroides_sphaerodactylus	extinct	237	246.7
Dromicosuchus_grallator	extinct	205.7	237
Postosuchus_alisonae	extinct	205.7	237
Bolosaurus_striatus	extinct	290.1	298.9
Zupaysaurus_rougieri	extinct	205.7	227.3
Omphalosaurus_nevadanus	extinct	237	246.7
Grippia_longirostris	extinct	246.7	249.9
